title,id,genres,release_date,vote_average,vote_count,popularity,runtime,overview,keywords,tagline,status,spoken_languages,production_companies,production_countries,budget,revenue
Monsters,43933,"['Drama', 'Thriller', 'Science Fiction']",2010-06-18,6.2,587,26.406001,94.0,"Six years ago NASA discovered the possibility of alien life within our solar system. A probe was launched to collect samples, but crashed upon re-entry over Central America. Soon after, new life forms began to appear and half of Mexico was quarantined as an infected zone. Today, the American and Mexican military still struggle to contain ""the creatures,"" while a journalist agrees to escort a shaken tourist through the infected zone in Mexico to the safety of the U.S. border.","['monster', 'pyramid', 'radio', 'dystopia', 'infection', 'forest', 'low-budget', 'alien', 'alien invasion', 'central america', 'vigil', 'cattle', 'dead fish']","After Six Years, They're No Longer Aliens. They're Residents",Released,"['Español', 'English']",['Vertigo Entertainment'],['United Kingdom'],500000,4242978
Machete,23631,"['Action', 'Comedy', 'Thriller']",2010-09-01,6.3,1150,26.396191,105.0,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.","['illegal immigration', 'immigration law', 'machete', 'politician', 'death of a child', 'hard to kill', 'brutal death']",He was given an offer he couldn't refuse...,Released,"['English', 'Español']","['Dune Entertainment', 'Dune Entertainment III', 'Troublemaker Studios', 'Overnight Films']",['United States of America'],20000000,31327899
Anna Karenina,96724,"['Drama', 'Romance']",2012-09-06,6.5,639,26.38704,130.0,"Trapped in a loveless marriage, aristocrat Anna Karenina enters into a life-changing affair with the affluent Count Vronsky.","['based on novel', 'st. petersburg russia', 'high society', 'imperial russia', 'tragic death', '19th century']",An epic story of love.,Released,"['English', 'Français']","['Universal Pictures', 'Focus Features', 'Working Title Films']","['France', 'United Kingdom']",0,68929150
Escape from Alcatraz,10734,"['Crime', 'Drama']",1979-06-22,7.2,561,26.356697,111.0,"Escape from Alcatraz tells the story of the only three men ever to escape from the infamous maximum security prison at Alcatraz. In 29 years, the seemingly impenetrable federal penitentiary, which housed Al Capone and ""Birdman"" Robert Stroud, was only broken once - by three men never heard of again.","['prison', 'based on novel', 'island', 'mouse', 'alcatraz', 'biography', 'prison warden', 'escapee convict', 'pubic hair', 'escape from prison', 'dummy', 'inmate', 'nude fight', '1960s']",No one has ever escaped from Alcatraz...and no one ever will!,Released,['English'],"['Paramount Pictures', 'Malpaso Company']",['United States of America'],8000000,43000000
Faster,41283,"['Crime', 'Drama', 'Action', 'Thriller']",2010-11-23,6.1,568,26.324874,98.0,"Driver (Dwayne Johnson) has spent the last 10 years in prison planning revenge for the murder of his brother. Now that Driver is free to carry out his deadly plan only two men stand in his way- Billy Bob Thornton plays a veteran cop and Oliver Jackson-Cohen, a crazy hitman. With those two close on his trail, Driver races to carry out his mission as the mystery surrounding his brothers murder deepens.",Unspecified,Slow Justice is no Justice,Released,['English'],"['Castle Rock Entertainment', 'TriStar Pictures', 'State Street Pictures', 'CBS Films']",['United States of America'],24000000,23081726
The Last King of Scotland,1523,['Drama'],2006-09-01,7.4,558,26.286954,121.0,"Young Scottish doctor, Nicholas Garrigan decides it's time for an adventure after he finishes his formal education, so he decides to try his luck in Uganda, and arrives during the downfall of President Obote. General Idi Amin comes to power and asks Garrigan to become his personal doctor.","['dictator', '1970s', 'general', 'kidnapping', 'naivety', 'luxury', 'oscar award', 'charisma', 'polygamy', 'uganda', 'dictatorship']",Charming. Magnetic. Murderous.,Released,"['English', 'Français', 'Deutsch', 'Kiswahili']","['Fox Searchlight Pictures', 'Cowboy Films', 'DNA Films', 'Scottish Screen', 'UK Film Council', 'Filmfour', 'Slate Films', 'Tatfilm']","['United Kingdom', 'Germany', 'United States of America']",6000000,48027970
I Spit on Your Grave,43947,"['Thriller', 'Crime', 'Horror']",2010-06-17,6.3,519,26.281839,108.0,"A remake of the 1979 controversial cult classic, I Spit on Your Grave retells the horrific tale of writer Jennifer Hills who takes a retreat from the city to a charming cabin in the woods to start on her next book. But Jennifer's presence in the small town attracts the attention of a few morally deprived locals led by Johnny, the town's service station owner, his two co-workers, Andy and Stanley, who along with their socially and mentally challenged friend Matthew, set out one night to teach this city girl a lesson.","['rape', 'fondling', 'revenge', 'writer', 'strangulation', 'female writer', 'garden shears', 'rape and revenge']",It's Date Night,Released,['English'],"['Anchor Bay Films', 'Cinetel Films', 'Family of the Year Productions']",['United States of America'],2000000,572809
Margin Call,50839,"['Thriller', 'Drama']",2011-09-28,6.7,524,26.259389,107.0,A thriller that revolves around the key people at an investment bank over a 24-hour period during the early stages of the financial crisis.,"['capitalism', 'brokerage', 'wall street', 'downsizing', 'financial crisis', 'stock market', 'stock market crash', '21st century', 'investment']",Be first. Be smarter. Or cheat.,Released,['English'],"['Benaroya Pictures', 'Before the Door Pictures', 'Washington Square Films', 'Untitled Entertainment']",['United States of America'],3500000,19504039
He's Just Not That Into You,10184,"['Comedy', 'Romance', 'Drama']",2009-02-06,6.2,959,26.253357,129.0,"Remember that really cute guy who said he'd call – and didn't? Maybe he lost your number. Maybe he's in the hospital. Maybe he's awed by your beauty, brains or success. Or maybe... he's just not that into you.","['relationship', 'ensemble cast', 'duringcreditsstinger']",Are you the exception...or the rule?,Released,['English'],"['New Line Cinema', 'Flower Films (II)', 'Internationale Filmproduktion Blackswan']","['Netherlands', 'United States of America', 'Germany']",40000000,177259441
Harold & Kumar Escape from Guantanamo Bay,13335,"['Comedy', 'Adventure']",2008-04-25,6.2,497,26.219598,107.0,"Having satisfied their urge for White Castle, Harold and Kumar jump on a plane to catch up with Harold's love interest, who's headed for the Netherlands. But the pair must change their plans when Kumar is accused of being a terrorist. Rob Corddry also stars in this wild comedy sequel that follows the hapless stoners' misadventures as they try to avoid being captured by the Department of Homeland Security.","['terrorist', 'aftercreditsstinger', 'duringcreditsstinger']",This time they're running from the joint.,Released,['English'],['New Line Cinema'],['United States of America'],12000000,43493123
The Virgin Suicides,1443,"['Drama', 'Romance']",1999-04-21,7.1,817,26.218912,97.0,"A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents.","['michigan', '1970s', 'youth', 'family', 'woman director']","Beautiful, mysterious, haunting, invariably fatal. Just like life.",Released,['English'],['American Zoetrope'],['United States of America'],6000000,10409377
Never Back Down,8456,"['Drama', 'Action']",2008-03-04,6.4,497,26.21425,115.0,"Rebellious Jake Tyler is lured into an ultimate underground fight Scene at his new high school, after receiving threats to the safety of his friends and family Jake decides to seek the mentoring of a veteran fighter who trains him for one final no-holds-barred elimination fight with his nemesis and local martial arts champion Ryan McCarthy.","['rebel', 'martial arts', 'underground', 'fight', 'training', 'champion', 'sport', 'high school', 'party', 'revenge', 'blood', 'nemesis', 'violence', 'club', 'brawl']",Win or lose... Everyone has their fight.,Released,['English'],"['Summit Entertainment', 'Mandalay Pictures', 'Baumgarten Management and Productions (BMP)']",['United States of America'],20000000,41627431
Cliffhanger,9350,"['Action', 'Adventure', 'Thriller']",1993-05-28,6.1,588,26.19909,112.0,"A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.","['rocky mountains', 'airplane', 'hijacking', 'suitcase', 'climbing', 'heist', 'money', 'snow', 'mountain climbing', 'mountain']",The height of adventure.,Released,['English'],"['TriStar Pictures', 'Canal+', 'Carolco Pictures', 'RCS Video', 'Cliffhanger Productions', 'Pioneer']","['France', 'Italy', 'United States of America']",70000000,255000211
Dazed and Confused,9571,"['Comedy', 'Drama']",1993-09-24,7.4,583,26.181753,102.0,"The adventures of a group of Texas teens on their last day of school in 1976, centering on student Randall Floyd, who moves easily among stoners, jocks and geeks. Floyd is a star athlete, but he also likes smoking weed, which presents a conundrum when his football coach demands he sign a ""no drugs"" pledge.","['1970s', 'texas', 'high school', 'comedy', 'coming of age', 'summer', 'teenager', 'period drama', 'great soundtrack']",See it with a bud.,Released,['English'],"['Gramercy Pictures', 'Alphaville Productions', 'The Criterion Collection']",['United States of America'],6900000,7993039
Rosemary's Baby,805,"['Horror', 'Drama', 'Mystery']",1968-06-12,7.5,863,26.180367,136.0,A young couple moves into an infamous New York apartment building to start a family. Things become frightening as Rosemary begins to suspect her unborn baby isn't safe around their strange neighbors.,"['anti-christ', 'contemporary setting', 'laundry', 'occult', 'demonic possession', 'satanic cult', 'lucky charm', 'woman in jeopardy', 'eating disorder', 'catholic priest']",Pray for Rosemary's Baby,Released,['English'],"['Paramount Pictures', 'William Castle Productions']",['United States of America'],3200000,33395426
The Insider,9008,"['Drama', 'Thriller']",1999-10-28,7.3,481,26.153669,157.0,"Tells the true story of a 60 Minutes television series exposé of the tobacco industry, as seen through the eyes of a real tobacco executive, Jeffrey Wigand","['spy', 'newspaper', 'research', 'interview', 'tobacco', 'insider', 'conspiracy theory', 'reporter', 'whistleblower', 'columbia broadcasting system (cbs)', 'tobacco industry']",Two men driven to tell the truth... whatever the cost.,Released,"['العربية', 'English', '日本語', 'فارسی']","['Spyglass Entertainment', 'Forward Pass', 'Kaitz Productions', 'Mann/Roth Productions', 'Touchstone Pictures']",['United States of America'],90000000,60289912
From Hell,768,"['Horror', 'Mystery', 'Thriller']",2001-10-19,6.6,741,26.134678,122.0,Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity.,"['loss of family', 'drug addiction', 'jack the ripper']",Only the legend will survive.,Released,"['English', 'Magyar', 'Pусский']","['Twentieth Century Fox Film Corporation', 'Underworld Entertainment']","['Czech Republic', 'United Kingdom']",35000000,74558115
The Kingdom,4349,"['Thriller', 'Action', 'Drama']",2007-08-22,6.5,513,26.123705,110.0,A team of U.S. government agents is sent to investigate the bombing of an American facility in the Middle East.,"['assassination', 'assassin', 'terrorist', 'explosive', 'fbi', 'chase', 'saudi arabia', 'investigation', 'police', 'medical examiner', 'terrorism', 'fbi agent', 'arab', 'bomb attack']",How do you stop an enemy who isn't afraid to die?,Released,"['العربية', 'English']","['Universal Pictures', 'Forward Pass', 'Relativity Media', 'FilmWorks', 'MDBF Zweite Filmgesellschaft']","['Germany', 'United States of America']",70000000,86658558
A Scanner Darkly,3509,"['Animation', 'Science Fiction', 'Thriller']",2006-05-25,6.8,532,26.093043,100.0,An undercover cop in a not-too-distant future becomes involved with a dangerous new drug and begins to lose his own identity as a result.,"['california', 'detective', 'based on novel', 'dream', 'undercover', 'cocaine', 'brain', 'exam', 'future', 'test', 'dystopia', 'assignment', 'cyberpunk', 'drug', 'surveillance', 'totalitarian', 'corporation', 'substance', 'schizophrenic', 'condition', 'neo-noir']",Everything Is Not Going To Be OK,Released,['English'],"['Thousand Words', 'Warner Independent Pictures (WIP)', 'Detour Filmproduction', 'Section Eight Productions']",['United States of America'],8700000,7659918
For Your Eyes Only,699,"['Adventure', 'Action', 'Thriller']",1981-06-23,6.3,490,26.090746,127.0,A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first.,"['london england', 'submarine', 'england', 'sea', 'assassin', 'mountains', 'undercover', 'olympic games', 'drug traffic', 'secret mission', 'secret intelligence service', 'kgb', 'coral reef', 'ski jump', 'parrot', 'cryptographic device', 'gang of smugglers', 'figure skating', 'motorcycle', 'monastery', 'british secret service', 'skiing']","No one comes close to James Bond, 007.",Released,"['ελληνικά', 'English', 'Italiano']","['United Artists', 'Eon Productions']","['United Kingdom', 'United States of America']",28000000,195312802
The Lincoln Lawyer,50348,"['Crime', 'Drama', 'Thriller']",2011-03-17,7.0,902,26.072228,119.0,A lawyer conducts business from the back of his Lincoln town car while representing a high-profile client in Beverly Hills.,"['judge', 'arrest', 'jury', 'private investigator']",This Case is a Dangerous Game of Life and Death,Released,['English'],"['Lakeshore Entertainment', 'Sidney Kimmel Entertainment', 'Lionsgate']",['United States of America'],40000000,85412898
I Am Sam,10950,['Drama'],2001-12-28,7.2,530,26.071644,132.0,"Sam has the mental capacity of a 7-year-old. He has a daughter with a homeless woman who abandons them when they leave the hospital, leaving Sam to raise Lucy on his own. But as Lucy grows up, Sam's limitations start to become a problem and the authorities take her away. Sam shames high-priced lawyer Rita into taking his case pro bono and in turn teaches her the value of love and family.","['foster parents', 'pro bono', 'new baby', 'social services', 'learning', 'coffee shop manager', 'pizza hut', ""children's book"", 'locked door', 'mentally handicapped man', 'child custody', 'woman director']",love is all you need,Released,['English'],['New Line Cinema'],['United States of America'],22000000,92542418
The Longest Yard,9291,"['Comedy', 'Drama']",2005-05-19,6.2,785,26.065735,113.0,"Pro quarter-back, Paul Crewe and former college champion and coach, Nate Scarboro are doing time in the same prison. Asked to put together a team of inmates to take on the guards, Crewe enlists the help of Scarboro to coach the inmates to victory in a football game 'fixed' to turn out quite another way.","['prison', 'american football', 'prisoner', 'blackmail', 'supervisor', 'sport']","If you can't get out, get even.",Released,['English'],"['Paramount Pictures', 'Columbia Pictures Corporation', 'MTV Films', 'Happy Madison Productions', 'Callahan Filmworks']",['United States of America'],82000000,190320568
Unleashed,10027,"['Action', 'Crime']",2005-02-02,6.6,518,25.999888,103.0,"Raised as a slave, Danny is used to fighting for his survival. In fact, his ""master,"" Bart, thinks of him as a pet and goes as far as leashing him with a collar so they can make money in fight clubs, where Danny is the main contender. When Bart's crew is in a car accident, Danny escapes and meets a blind, kindhearted piano tuner who takes him in and uses music to free the fighter's long-buried heart.","['martial arts', 'hitman', 'serial killer']",Serve No Master,Released,"['English', 'Deutsch', 'Español']","['Canal Plus', 'Current Entertainment', 'Clubdeal', 'TF1 Films Production', 'EuropaCorp', 'Qian Yian International', 'Danny the Dog Prods Ltd.']","['France', 'United Kingdom', 'United States of America']",45000000,50871113
Remember the Titans,10637,['Drama'],2000-09-29,7.4,821,25.996219,113.0,"After leading his football team to 15 winning seasons, coach Bill Yoast is demoted and replaced by Herman Boone – tough, opinionated and as different from the beloved Yoast as he could be. The two men learn to overcome their differences and turn a group of hostile young men into true champions.","['ku klux klan', 'american football', 'trainer', 'sports team', 'race politics', 'coaction', 'apartheid', 'sport', 'high school', 'racial segregation', 'racist', 'based on true story', 'american football player', 'xenophobia', 'head coach']",History is written by the winners.,Released,['English'],"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Technical Black', 'Run It Up Productions Inc.']",['United States of America'],30000000,136706683
Born on the Fourth of July,2604,"['Drama', 'War']",1989-12-20,6.7,395,25.949277,145.0,"The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.","['vietnam veteran', 'post traumatic stress  disorder', 'bar', '1970s', 'wheelchair', 'vietnam war', 'desert', 'spit in the face', 'drunkenness', '1950s', '1960s']",A story of innocence lost and courage found.,Released,"['English', 'Español']","['Universal Pictures', 'Ixtlan']",['United States of America'],14000000,161001698
The Omen,794,"['Horror', 'Thriller']",1976-06-06,7.2,476,25.939385,111.0,"Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesn’t know is that their new son is the son of the devil. A classic horror film with Gregory Peck from 1976.","['monk', 'prophecy', 'ambassador', 'nanny', 'rottweiler', ""devil's son"", 'revelation', 'aggression by animal', 'photography', 'paranormal phenomena', 'cowardliness', 'archaeologist']",It is the greatest mystery of all because no human being will ever solve it.,Released,"['English', 'Italiano', 'Latin']","['Twentieth Century Fox Film Corporation', 'Mace Neufeld Productions']","['United Kingdom', 'United States of America']",2800000,60922980
Bill & Ted's Excellent Adventure,1648,"['Adventure', 'Comedy', 'Science Fiction']",1989-02-17,6.7,454,25.929893,90.0,"In the small town of San Dimas, a few miles away from Los Angeles, there are two nearly brain dead teenage boys going by the names of Bill S, Preston ESQ. and Ted Theodore Logan, they have a dream together of starting their own rock and roll band called the ""Wyld Stallyns"". Unfortunately, they are still in high school and on the verge of failing out of their school as well, and if they do not pass their upcoming history report, they will be separated as a result of Ted's father sending him to military school. But, what Bill and Ted do not know is that they must stay together to save the future. So, a man from the future named Rufus came to help them pass their report. So, both Bill and Ted decided to gather up historical figures which they need for their report. They are hoping that this will help them pass their report so they can stay together.","['jealousy', 'journey in the past', 'sigmund freud', 'time travel', 'heavy metal', 'socrates', 'billy the kid', 'school presentation', 'rhinoceros', 'phone booth', 'world peace', 'past', 'history', 'metal', 'best friend', 'napoleon bonaparte']",History is about to be rewritten by two guys who can't spell.,Released,"['English', 'Français', 'Deutsch', 'ελληνικά']",['Orion Pictures'],['United States of America'],10000000,40485039
Hard Candy,2652,"['Drama', 'Thriller']",2005-01-14,6.8,701,25.918007,103.0,"A mature 14-year old girl meets a charming 32-year old photographer on the Internet. Suspecting that he is a pedophile, she goes to his home in an attempt to expose him.","['suicide', 'rape', 'age difference', 'photographer', 'ice', 'shower', 'menace', 'lie', 'pedophilia', 'manipulation', 'bedroom', 'sadism', 'electric shock', 'coffee shop', 'castration', 'insanity', 'vigilante', 'sociopath', 'deception', 'neighbor', 'teenage girl', 'crying', 'torture', 'sadist', 'pedophile', 'cruelty', 'older man younger woman relationship', 'one day', 'justice', 'drinking', 'rooftop', 'held captive', 'mental illness', 'threat', 'sexual torture', 'screaming', 'electrical torture', 'childhood sexual abuse', 'photo studio', 'verbal abuse']",Strangers shouldn't talk to little girls.,Released,['English'],['Vulcan Productions Inc.'],['United States of America'],950000,7022209
The Secret in Their Eyes,25376,"['Crime', 'Drama', 'Mystery', 'Romance']",2009-08-13,7.8,626,25.894065,129.0,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,"['rape', 'secret', 'writing', 'homicide', 'kidnapping', 'passion', 'suspect', 'investigation', 'police', 'partner', 'murder', 'tension', 'argentina', 'justice', 'eyes']",NaN,Released,['Español'],"['100 Bares', 'Haddock Films S.R.L.', 'Instituto Nacional de Cine y Artes Audiovisuales (INCAA)', 'Televisión Española (TVE)', 'Tornasol Films', 'Canal+ España', 'Ministerio de Cultura', 'Instituto de Crédito Oficial (ICO)', 'Televisión Federal (Telefe)']","['Argentina', 'Spain']",2000000,33965843
"Batman: The Dark Knight Returns, Part 2",142061,"['Action', 'Animation']",2013-01-18,7.9,419,25.891466,78.0,Batman has stopped the reign of terror that The Mutants had cast upon his city.  Now an old foe wants a reunion and the government wants The Man of Steel to put a stop to Batman.,"['dc comics', 'future', 'joker', 'robin', 'based on graphic novel', 'dystopic future', 'super powers']",Justice Returns... Vengeance Returns... Redemption Comes to Gotham.,Released,['English'],"['DC Comics', 'Warner Bros. Animation', 'Warner Premiere', 'DC Entertainment']",['United States of America'],3500000,0
The Others,1933,"['Horror', 'Drama', 'Mystery', 'Thriller']",2001-08-02,7.4,1660,25.881355,101.0,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.","['nanny', 'haunted house', 'channel islands', 'parallel world', 'photosensitivity', 'spiritism']","Sooner or later she'll see them, then everything will be different.",Released,"['Français', 'English']","['Cruise/Wagner Productions', 'Canal Plus', 'Sogecine', 'Las Producciones del Escorpion', 'Lucky Red', 'Dimension Films', 'Miramax']","['Spain', 'United States of America', 'France', 'Italy']",0,0
Entrapment,1844,"['Romance', 'Drama', 'Mystery']",1999-04-29,6.0,602,25.877794,112.0,"Two thieves, who travel in elegant circles, try to outsmart each other and, in the process, end up falling in love.","['london england', ""new year's eve"", 'skyscraper', 'burglar', 'distrust', 'undercover', 'blackmail', 'nudity', 'thief', 'heist', 'older man younger woman relationship', 'art thief', 'criminal', 'art theft', 'millennium', 'manhattan, new york city', 'gala', 'kuala lumpur malaysia']",The trap is set.,Released,['English'],"['Fountainbridge Films', 'Regency Enterprises']","['United Kingdom', 'United States of America']",66000000,212404396
Dune,841,"['Action', 'Science Fiction', 'Adventure']",1984-12-14,6.5,562,25.876582,137.0,"In the year 10,191, the world is at war for control of the desert planet Dune – the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters.","['prophecy', 'witch', 'monster', 'telepathy', 'atomic bomb', 'space marine', 'emperor', 'mutation', 'insurgence', 'space travel', 'guild', 'duke', 'water', 'chosen one', 'dystopia', 'jihad', 'spice', 'war', 'messiah', 'denunciation']","A world beyond your experience, beyond your imagination.",Released,"['English', 'Italiano']",['Dino De Laurentiis Company'],['United States of America'],40000000,30925690
EuroTrip,9352,['Comedy'],2004-02-20,6.5,656,25.848003,93.0,"When Scott learns that his longtime cyber-buddy from Berlin is a gorgeous young woman, he and his friends embark on a trip across Europe.","['paris', 'berlin', 'alcohol', 'sex', 'nudity', 'adventure', 'pen pals', 'travel', 'nudism', 'marijuana', 'teenager', 'duringcreditsstinger']",No actual Europeans were harmed in the making of this film.,Released,"['English', 'Français', 'Italiano', '日本語', 'Deutsch']","['DreamWorks SKG', 'The Montecito Picture Company', 'Blue Sea Productions']",['United States of America'],25000000,20796847
Repo Men,31867,"['Action', 'Science Fiction', 'Thriller', 'Crime']",2010-03-18,6.2,620,25.799697,111.0,"In the future, medical technology has advanced to the point where people can buy artificial organs to extend their lives. But if they default on payments, an organization known as the Union sends agents to repossess the organs. Remy is one of the best agents in the business, but when he becomes the recipient of an artificial heart, he finds himself in the same dire straits as his many victims.","['dystopia', 'evil corporation', 'repo man', 'aftercreditsstinger']","For a price, any organ in your body can be replaced. But it can also be repossessed.",Released,['English'],"['Universal Pictures', 'Stuber Productions', 'Dentsu', 'Relativity Media']","['Canada', 'United States of America']",32000000,18409891
Babel,1164,['Drama'],2006-09-08,6.9,1055,25.785925,143.0,"Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.","['terror', 'loss of mother', 'gun', 'morocco', 'deaf-mute', 'san diego', 'ecstasy', 'illegal immigration', 'first time', 'nanny', 'daughter', 'bullet wound', 'ensemble cast']",If You Want to be Understood...Listen,Released,"['العربية', 'English', 'Español', 'Français', '日本語', 'Pусский']","['Paramount Vantage', 'Media Rights Capital', 'Anonymous Content', 'Central Films']","['France', 'Japan', 'Mexico', 'United States of America']",25000000,135330182
The Blind Side,22881,['Drama'],2009-11-20,7.2,1597,25.767395,129.0,"Oversized African-American, Michael Oher, the teen from across the tracks and a broken home, has nowhere to sleep at age 16. Taken in by an affluent Memphis couple, Michael embarks on a remarkable rise to play for the NFL.","['american football', 'adoption', 'education', 'private school', 'sport', 'american football player', 'duringcreditsstinger']",Based on the extraordinary true story,Released,['English'],"['Alcon Entertainment', 'Left Tackle Pictures', 'Zucker/Netter Productions']",['United States of America'],29000000,309208309
The Perfect Storm,2133,['Drama'],2000-03-15,6.2,597,25.752118,130.0,"In October 1991, a confluence of weather conditions combined to form a killer storm in the North Atlantic. Caught in the storm was the sword-fishing boat Andrea Gail. Magnificent foreshadowing and anticipation fill this true-life drama while minute details of the fishing boats, their gear and the weather are juxtaposed with the sea adventure.","['u.s. air force', 'grocery', 'jamaican', 'meteorologist', 'rescue boat', 'marina', 'city hall', 'the flemish cap', 'male camaraderie', 'storm at sea']",The storm is coming.,Released,['English'],"['Warner Bros.', 'Baltimore Spring Creek Productions', 'Radiant Productions']",['United States of America'],120000000,325756637
The Spectacular Now,157386,"['Comedy', 'Drama', 'Romance']",2013-08-02,6.8,1048,25.722747,95.0,"A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl.""","['alcoholism', 'coming of age', 'teenager', 'high school student', 'based on young adult novel']",From the Writers of (500) Days of Summer,Released,['English'],"['21 Laps Entertainment', 'Andrew Lauren Productions (ALP)', 'Global Produce', 'A24']",['United States of America'],2500000,6854611
The Master,68722,['Drama'],2012-09-07,7.0,701,25.682509,137.0,"Freddie, a volatile, heavy-drinking veteran who suffers from post-traumatic stress disorder, finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new ""religion"" he forms after World War II.","['post traumatic stress  disorder', 'sexual obsession', 'postwar period', 'drifter', 'alcoholic', 'cult leader', 'scientology', 'religious cult', 'charismatic leader', 'right hand man']",Every Man Needs a Guide,Released,['English'],"['Ghoulardi Film Company', 'The Weinstein Company', 'Annapurna Pictures']",['United States of America'],32000000,28258060
Star Trek: First Contact,199,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",1996-11-21,7.0,661,25.6713,111.0,"The Borg, a relentless race of cyborgs, are on a direct course for Earth. Violating orders to stay away from the battle, Captain Picard and the crew of the newly-commissioned USS Enterprise E pursue the Borg back in time to prevent the invaders from changing Federation history and assimilating the galaxy.","['federation', 'starfleet', 'borg', 'enterprise-e', 'cyborg', 'montana', 'resistance', 'inventor', 'repayment', 'obsession', 'business start-up', 'space opera']",Resistance is futile.,Released,['English'],"['Paramount Pictures', 'Digital Image Associates']",['United States of America'],46000000,150000000
Night of the Living Dead,10331,['Horror'],1968-10-01,7.5,580,25.666029,96.0,"A group of people try to survive an attack of bloodthirsty zombies while trapped in a rural Pennsylvania farmhouse. Although not the first zombie film, Night of the Living Dead is the progenitor of the contemporary ""zombie apocalypse"" horror film, and it greatly influenced the modern pop-culture zombie archetype.","['brother sister relationship', 'cemetery', 'gun', 'gas station', 'loss of father', 'cellar', 'house', 'barricade', 'zombie', 'trapped', 'bitten']","If it doesn't scare you, you're already dead!",Released,['English'],"['Laurel Group', 'Off Color Films', 'Image Ten', 'Market Square Productions']",['United States of America'],114000,30000000
Octopussy,700,"['Adventure', 'Action', 'Thriller']",1983-06-05,6.2,527,25.633663,131.0,James Bond is sent to investigate after a fellow “00” agent is found dead with a priceless Farberge egg. James bond follows the mystery and uncovers a smuggling scandal and a Russian General who wants to provoke a new World War.,"['atomic bomb', 'eastern block', 'crocodile', 'secret intelligence service', 'kgb', 'snake charmer', 'hot air balloon', 'east berlin', 'british secret service']",James Bond’s all time high.,Released,"['Deutsch', 'English', 'Pусский', 'Español']",['Eon Productions'],"['United Kingdom', 'United States of America']",27500000,187500000
8MM,8224,"['Thriller', 'Crime', 'Mystery']",1999-02-26,6.1,474,25.580272,123.0,"A small, seemingly innocuous plastic reel of film leads surveillance specialist Tom Welles down an increasingly dark and frightening path. With the help of the streetwise Max, he relentlessly follows a bizarre trail of evidence to determine the fate of a complete stranger. As his work turns into obsession, he drifts farther and farther away from his wife, family and simple life as a small-town PI.","['pornography', 'porn actor', 'loss of daughter', 'child pornography', 'private investigator', 'subculture', 'private detective']",You can't prepare for where the truth will take you.,Released,['English'],"['Columbia Pictures Corporation', 'Hofflund/Polone', 'Global Entertainment Productions GmbH & Company Medien KG']",['United States of America'],40000000,96618699
Friday,10634,['Comedy'],1995-04-26,7.0,503,25.5748,91.0,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.","['rap music', 'parents kids relationship', 'rapper', 'job']",A lot can go down between thursday and saturday...,Released,['English'],['New Line Cinema'],['United States of America'],3500000,28215918
Desperado,8068,"['Thriller', 'Action', 'Crime']",1995-08-25,6.8,881,25.511217,104.0,A gunslinger is embroiled in a war with a local drug runner.,"['gunslinger', 'anti terror', 'ambush', 'mexico', 'showdown', 'guitar', 'nudity', 'hitman', 'bartender', 'revenge', 'tragic hero', 'shootout', 'mariachi', 'explosion', 'extreme violence', 'brutality', 'drug lord', 'leg brace', 'concealed weapon', 'flashback', 'bookstore']","When the smoke clears, it just means he's reloading.",Released,['English'],"['Columbia Pictures', 'Los Hooligans Productions']",['United States of America'],7000000,25405445
